task,method,variant_id,lm_window_length,metric,score,graph_density,density_basis,sampled_sentences,distinct_partitions,total_partitions,total_edges,average_sentence_partitions,average_distinct_ngrams_per_sentence,included_in_plot,metric_status,corpus_filename,resolved_corpus_file
analogy,lm-lemma,v15,3,accuracy,0.0317426196618,0.038950496106,task partition corpus,10000,18418,238356,6606088,23.8356,21.8853,True,current,resources/text//intrinsic/1273290388.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1273290388.txt
analogy,lm-lemma,v16,3,accuracy,0.030667813127,0.038950496106,task partition corpus,10000,18418,238356,6606088,23.8356,21.8853,True,current,resources/text//intrinsic/415637485.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/415637485.txt
analogy,lm-lemma,v17,3,accuracy,0.0323875035827,0.038950496106,task partition corpus,10000,18418,238356,6606088,23.8356,21.8853,True,current,resources/text//intrinsic/88907319.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/88907319.txt
analogy,lm-lemma,v18,3,accuracy,0.030524505589,0.038950496106,task partition corpus,10000,18418,238356,6606088,23.8356,21.8853,True,current,resources/text//intrinsic/2119117743.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/2119117743.txt
analogy,lm-lemma,v19,3,accuracy,0.0320292347377,0.038950496106,task partition corpus,10000,18418,238356,6606088,23.8356,21.8853,True,current,resources/text//intrinsic/1261464840.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1261464840.txt
analogy,lm-lemma,v20,3,accuracy,0.0308827744339,0.038950496106,task partition corpus,10000,18418,238356,6606088,23.8356,21.8853,True,current,resources/text//intrinsic/934734674.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/934734674.txt
analogy,lm-lemma,v21,3,accuracy,0.0314560045858,0.038950496106,task partition corpus,10000,18418,238356,6606088,23.8356,21.8853,True,current,resources/text//intrinsic/-1782897280.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1782897280.txt
analogy,lm-lemma,v22,3,accuracy,0.0311693895099,0.038950496106,task partition corpus,10000,18418,238356,6606088,23.8356,21.8853,True,current,resources/text//intrinsic/-1450759249.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1450759249.txt
analogy,lm-lemma,v23,3,accuracy,0.0321725422757,0.038950496106,task partition corpus,10000,18418,238356,6606088,23.8356,21.8853,True,current,resources/text//intrinsic/1986555144.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1986555144.txt
analogy,lm-lemma,v24,3,accuracy,0.0310977357409,0.038950496106,task partition corpus,10000,18418,238356,6606088,23.8356,21.8853,True,current,resources/text//intrinsic/1659824978.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/1659824978.txt
analogy,lm-lemma,v25,3,accuracy,0.0310977357409,0.038950496106,task partition corpus,10000,18418,238356,6606088,23.8356,21.8853,True,current,resources/text//intrinsic/-1189403264.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-1189403264.txt
analogy,lm-lemma,v26,3,accuracy,0.0326024648897,0.038950496106,task partition corpus,10000,18418,238356,6606088,23.8356,21.8853,True,current,resources/text//intrinsic/-857265233.txt,/run/media/wolf/KIOXIA/SentencePartitioning/resources/text/intrinsic/-857265233.txt
