task,metric,observations,pearson_r_density,pearson_r_log10_density,density_min,density_max,score_min,score_max,density_basis
analogy,accuracy,96,-0.419481917805,-0.379516511743,0.00967808348811,0.281579921324,0,0.0377615362568,task partition corpus
morphology,f_score,96,-0.27012646485,-0.043176197808,0.00576119814438,0.184224852736,0.182867,0.538576,reference-corpus estimate
ner,f_score,96,0.0121299877669,0.224243885154,0.00368888049578,0.117256836501,0.126547199986,0.682858516552,task partition corpus
pos,f_score,87,0.120100125303,0.295182681789,0.00477536658915,0.0766999310667,0.0267056918454,0.645612056817,task partition corpus
sentiment,f_score,96,-0.0380983346605,0.0833681457419,0.00490246200446,0.163318688835,0.551513386684,0.678592423233,task partition corpus
