variant_id,task,method,lm_window_length,lm_slide_length,lm_top_split,lm_skip,lm_stem_length,lm_prune,lm_likelihood_weight,lm_prior_weight,lm_length_penalty,corpus_filename,result_filename,accuracy,f1,status
"v1","morphology","lm-skip","2","2","1","2","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-skip-v1-249470410.csv","0.473046","0.538576","found"
"v2","morphology","lm-skip","2","2","3","2","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-skip-v2-249471096.csv","0.286640","0.247958","found"
"v3","morphology","lm-skip","2","2","5","2","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-skip-v3-249471782.csv","0.229422","0.182867","found"
"v4","morphology","lm-skip","3","3","1","3","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-skip-v4-249472867.csv","0.473046","0.538576","found"
"v5","morphology","lm-skip","3","3","3","3","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-skip-v5-249473553.csv","0.286640","0.247958","found"
"v6","morphology","lm-skip","3","3","5","3","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-skip-v6-249474239.csv","0.229422","0.182867","found"
"v7","morphology","lm-skip","4","4","1","4","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-skip-v7-249475324.csv","0.473046","0.538576","found"
"v8","morphology","lm-skip","4","4","3","4","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-skip-v8-249476010.csv","0.286640","0.247958","found"
"v9","morphology","lm-skip","4","4","5","4","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-skip-v9-249476696.csv","0.229422","0.182867","found"
