variant_id,task,method,lm_window_length,lm_slide_length,lm_top_split,lm_skip,lm_stem_length,lm_prune,lm_likelihood_weight,lm_prior_weight,lm_length_penalty,corpus_filename,result_filename,accuracy,f1,status
"v1","morphology","frequent-ngram","2","2","1","2","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-frequent-ngram-v1-175838085.csv","0.271060","0.345762","found"
"v2","morphology","frequent-ngram","2","2","3","2","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-frequent-ngram-v2-175838771.csv","0.271060","0.345762","found"
"v3","morphology","frequent-ngram","2","2","5","2","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-frequent-ngram-v3-175839457.csv","0.271060","0.345762","found"
"v4","morphology","frequent-ngram","3","3","1","3","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-frequent-ngram-v4-175840542.csv","0.271060","0.345762","found"
"v5","morphology","frequent-ngram","3","3","3","3","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-frequent-ngram-v5-175841228.csv","0.271060","0.345762","found"
"v6","morphology","frequent-ngram","3","3","5","3","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-frequent-ngram-v6-175841914.csv","0.271060","0.345762","found"
"v7","morphology","frequent-ngram","4","4","1","4","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-frequent-ngram-v7-175842999.csv","0.271060","0.345762","found"
"v8","morphology","frequent-ngram","4","4","3","4","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-frequent-ngram-v8-175843685.csv","0.271060","0.345762","found"
"v9","morphology","frequent-ngram","4","4","5","4","7","100","0.15","0.85","none","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-frequent-ngram-v9-175844371.csv","0.271060","0.345762","found"
