variant_id,task,method,lm_window_length,lm_slide_length,lm_top_split,lm_skip,lm_stem_length,lm_prune,lm_likelihood_weight,lm_prior_weight,lm_length_penalty,sentencepiece_model_type,sentencepiece_vocab_size,sentencepiece_character_coverage,corpus_filename,result_filename,accuracy,f1,status
"v1","morphology","lm-syllable","2","2","1","2","7","100","0.15","0.85","none","","","","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-syllable-v1-1312390923.csv","0.285537","0.358150","found"
"v2","morphology","lm-syllable","2","2","3","2","7","100","0.15","0.85","none","","","","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-syllable-v2-1312391609.csv","0.221012","0.212726","found"
"v3","morphology","lm-syllable","2","2","5","2","7","100","0.15","0.85","none","","","","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-syllable-v3-1312392295.csv","0.240590","0.218891","found"
"v4","morphology","lm-syllable","3","3","1","3","7","100","0.15","0.85","none","","","","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-syllable-v4-1312393380.csv","0.285537","0.358150","found"
"v5","morphology","lm-syllable","3","3","3","3","7","100","0.15","0.85","none","","","","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-syllable-v5-1312394066.csv","0.220460","0.212196","found"
"v6","morphology","lm-syllable","3","3","5","3","7","100","0.15","0.85","none","","","","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-syllable-v6-1312394752.csv","0.239211","0.217637","found"
"v7","morphology","lm-syllable","4","4","1","4","7","100","0.15","0.85","none","","","","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-syllable-v7-1312395837.csv","0.285537","0.358150","found"
"v8","morphology","lm-syllable","4","4","3","4","7","100","0.15","0.85","none","","","","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-syllable-v8-1312396523.csv","0.219358","0.211134","found"
"v9","morphology","lm-syllable","4","4","5","4","7","100","0.15","0.85","none","","","","resources/evaluation/morphology","resources/results/reviewer1/morphology/comment1-morphology-lm-syllable-v9-1312397209.csv","0.243623","0.221651","found"
